,name,price,location,offerer,id,description,year,manufacturer,model,category,length,fuel_type,hull_material,hull_shape,country
28,1992 One Off Sailing Yacht1992 One Off Sailing Yacht,2000000.0,"contact de valk palma, spanien",De Valk Group B.V,7940652,"Model: ONE OFF SAILING YACHT Type: sailing yacht LOA (m): 32,29 LWL (m): 21,10 Beam (m): 7,20 Draft (m): 3,60 Headroom (m): 2,20 Year built: 1992 Builder: CCSY Venice Country: Italy Designer: Ron Holland Displacement (t): 111 CE norm: A Hull material: aluminium Hull colour: white Hull thickness (mm): 9mm Hull shape: round-bilged Keel type: fin keel Deck finish: teak Superstructure deck finish: paint Cockpit deck finish: teak Antifouling (year): International 2019 Window frame: aluminium Window material: polycarbonate Deckhatch: Lewmar Portholes: aluminium Insulation: glasswool Fuel tank (litre): 10.000 aluminium Level indicator (fuel tank): yes Fuel daytank (litre): 1300 liters Capacity 2000 liters aluminium Level indicator (daytank): yes Freshwater tank (litre): 6000 aluminium Level indicator (freshwater): yes Blackwater tank (litre): 2000 Level indicator (blackwater): yes Greywater tank (litre): 2000 Level indicator (greywater): yes Wheel steering: mechanical Outside helm position: cable steering Emergency tiller: yes More info on paintwork: 2007 Awlgripp paintjob by Pendennis. This Ron Holland designed 32.28 meter sloop build in 1992 by the Italian shipyard CCYD is an example of beauty, quality and technic. With her interior by the award winning studio of Winch Design a desireable lady of beauty to last for ever.
For more information: ONE OFF SAILING YACHT for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1992,One Off,Sailing Yacht,Slup Boote,32.29,diesel,Aluminium,,spain
29,2011 Custom GULET2011 Custom GULET,1900000.0,türkei,Gino Group,4367965,G20534 Show more,2011,Custom,GULET,Gulets (Segel),32.0,diesel,wood,,turkey
30,2009 CUSTUM BUILT GULET 103 ft2009 CUSTUM BUILT GULET 103 ft,1450000.0,türkei,Gino Group,4761385,G20553 Show more,2009,CUSTUM BUILT,GULET 103 ft,Gulets (Segel),31.6,diesel,wood,,turkey
31,1998 Custom Build Gulet1998 Custom Build Gulet,1000000.0,türkei,Gino Group,469959,This beautiful   schooner gulet with Iroko hull has traditional gulet features with dual superstructures and ready to go ! Complete new refit  carried out 2012-2011 - including  new interior design  -electric system- generators -tankage-galley equipment-new rigging and  sails .. Mehr anzeigen,1998,Custom Build,Gulet,Motorsegler (Segel),31.09,diesel,wood,,turkey
32,2011 Custom Cunéo Marine 312011 Custom Cunéo Marine 31,3600000.0,"canet en roussillon, pyrénées-orientales ( 66 )",Alliance Nautique 66,8190973,"S/Y HUTIANE a 30m luxury catamaran that combines pleasure in sailing and optimum comfort in navigation
350m2 of high-end equipment
A flybridge with a 360° view to enjoy exceptional moments with a bar / barbecue area
Jacuzzi on deck - swim platform
Capelli 5.30 m with 90 hp, 2 Sea-Doo jet skis, Kayaks, Snorkeling equipment, Wakeboards, Water ski sets, Fishing equipment Inflatable trampoline, Inflatable toys
Good profitability for charters Balance sheet available on request
Do not hesitate to contact us to receive a detailed brochureMehr anzeigen",2011,Custom,Cunéo Marine 31,Katamarane,31.0,diesel,Aluminium,,afghanistan
33,1982 Lunstroo Schooner 31001982 Lunstroo Schooner 3100,2600000.0,"contact de valk amsterdam, niederlande",De Valk Group B.V,7936707,"Model: LUNSTROO SCHOONER Type: sailing yacht LOA (m): 31,00 Beam (m): 6,10 Draft (m): 3,00 Air draft (m): 28,00 Year built: 1982 Launched: 2020 after refit Builder: Lubbe Voss Country: Germany Designer: Lunstroo Design Displacement (t): 145 Gross tonnage: 90 Net tonnage: 54 Hull material: steel Hull colour: new paint 2020 sand blased coated primed awlgrip black Hull thickness (mm): 6-7 Hull shape: S-bilged Keel type: long keel Superstructure material: steel Superstructure (mm): 5 Rubbing strake: stainless steel Deck material: steel Deck finish: New chaulk 2020 teak Superstructure deck finish: New chaulk 2020 teak Cockpit deck finish: New chaulk 2020 teak Antifouling (year): 2020 Dorades: Stainless steel Window material: double glazing Deckhatch: 2 Insulation: rockwool Fuel tank (litre): 5000 steel Level indicator (fuel tank): automated onboard systems management Freshwater tank (litre): 4500 steel Level indicator (freshwater): automated onboard systems management Blackwater tank (litre): steel Level indicator (blackwater): automated onboard systems management Blackwater tank extraction: deck extraction + pump Greywater tank (litre): steel Level indicator (greywater): automated onboard systems management Wheel steering: hydraulic Inside helm position: yes Outside helm position: hydraulic Emergency tiller: yes More info on hull: MCA Small Commercial Vessel Cat.0 More info on paintwork: repainted 2019/2020 Extra info: Full info on refit available The Lunstro Schooner Borkumriff II is a beautifull example of classic design and modern craftmanship. The Lunstro Schooner Borkumriff II was completely refitted and carefully restyled in 2020 by her current Owner. During the refit all major mechanical and electricl components where carefully serviced and where needed replaced. While sailing and exploring areas of the world on board the classic Borkumriff II she will bring the feeling of days gone by to her new owner. Borkumriff II is just as comfortable for a famely with guests as she for a full complement of charter guests.
For more information: LUNSTROO SCHOONER for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1982,Lunstroo Schooner,3100,Slup Boote,31.0,diesel,steel,,netherlands
35,2005 Custom GULET2005 Custom GULET,950000.0,türkei,Gino Group,4760545,G20552 Show more,2005,Custom,GULET,Gulets (Segel),30.0,diesel,wood,,turkey
36,1968 C & L Cantiere Craglietto1968 C & L Cantiere Craglietto,1200000.0,"sete, hérault ( 34 )",Bernard Gallay Yacht Brokerage,7652623,"ailing yacht TELSTAR VI is a classically designed, auxiliary ketch with the character and style of the 1960’s with the luxurious comfort, amenities and advantages of a modern yacht. Her strength and long range will provide endless enjoyment for local and world cruising.
TELSTAR VI is a 29m ketch designed in 1967 by renowned naval architect Alan Buchanan and built in Italy by Cantiere Craglietto Yard no. 62. Her keel was laid in 1967 and she was completed in 1968. 
“TELSTAR VI is the chronology of the ownership, custody or location of a historical object. The term was originally mostly used in relation to works of art, used in similar senses in a wide range of fields, including archaeology and manuscripts”
TELSTAR VI is carvel built of mahogany and oak. She underwent a substantial refit in Malta from 2012 to 2019 where she was completely stripped out, partly replanked, beams and floor replaced with laminated beams, re fastened and sheathed with epoxy. The extensive refit enables MCA coding.
 Mehr anzeigen",1968,C & L,Cantiere Craglietto,Ketsch Segelboote,29.65,diesel,wood,,afghanistan
37,1910 Clipper ketch1910 Clipper ketch,275000.0,"contact de valk portugal, portugal",De Valk Group B.V,8450503,"Model: CLIPPER KETCH Type: sailing yacht LOA (m): 29,00 LWL (m): 24,55 Beam (m): 5,20 Draft (m): 1,10 Air draft (m): 22,00 Headroom (m): 2,20 Year built: 1910 Builder: Paans, Roodevaart Country: The Netherlands Displacement (t): 32 CE norm: B Hull material: steel Hull colour: white Hull thickness (mm): 4 - 8mm Hull shape: flat bottom Keel type: Leeboards Superstructure material: steel Rubbing strake: steel Deck material: steel Deck finish: non-skid paint Superstructure deck finish: non-skid paint Cockpit deck finish: non-skid paint Antifouling (year): July 2022 Window frame: steel Window material: tempered glass Deckhatch: fixed windows in saloon ceiling Insulation: entire hull Fuel tank (litre): 400L steel Fuel tank 2 (litre): 400L steel Level indicator (fuel tank): yes Freshwater tank (litre): 2x 2000L steel Level indicator (freshwater): yes Blackwater tank extraction: Fecomat grinder pump Wheel steering: hydraulic Outside helm position: yes Emergency tiller: yes More info on hull: scraped clean and re-painted above waterline 2022 A beautifully lined, traditional flat bottomed Ketch that was built in 1910 as cargo ship for inland and shallow coastal waters. In 1970 she was converted into a charter ship with 7 cabins for 16 passengers. Midships there is a very cosy saloon with galley/bar, comfortably seating 30 people. A deckhouse functions as captains cabin with seperate small toilet and shower space. Since 2014 she was very popular for group daytrips along the Tagus river. A unique and versatile ship with many possibilities for chartering or live aboard.
For more information: CLIPPER KETCH for sale at De Valk Yachtbrokers - Click here:Mehr anzeigen",1910,Clipper,ketch,Slup Boote,29.0,diesel,steel,,portugal
38,1992 Jongert 25S1992 Jongert 25S,450000.0,"san remo, italien",HAAS INTERNATIONAL - The Sailing Yacht Broker,7926623,"The Jongert 25s COLOMBAIO is a perfect example of a semi-custom-built ketch by the famous Jongert Shipyard with an interior design by Peter Sijm.  
The classic 25 series is one of the most successful designs of the Dutch shipyard. With her superior build quality and high safety margins used throughout the design, COLOMBAIO is able to travel the world through all seas and weather in highest comfort. 
Sisterships of COLOMBAIO have sailed more than 300’000 NM and still continue to delight owner, guests and crew. Her sail plan and effortless handling systems makes her easy to sail for a small crew.
Distinctive handcrafted elements are to be found throughout the entire yacht, from the beautiful wooden figurehead at the front, all the way to the characteristic fitted windows at the rear.
The deck plan offers plenty of space for sunbathing.  The well-protected sitting area behind the wheelhouse is perfect for al-fresco dining. The aft platform hosts conveniently the dinghy during navigation and offers easy access to the water with a solid manual lowerable boarding ladder.
Under deck, the voluminous hull offers ample space for a full beam owner’s cabin aft and two equal guests cabins adjacent, each with en-suite bathrooms. 
Amidship, COLOMBAIO features a full beam lower saloon with large windows and portholes and a well-liked bar.
Separated in the forward section is the crew area with large, functional galley and opposite a crew dinette. Forward are two crew cabins, each also with en-suite bathrooms. 
The engine room is very spacious and designed for easy access and proper maintenance. The engine room is very spacious and designed for easy access and proper maintenance. Under engine she has a maximum cruising range of 2000 Nm @ 9 kn. 
KEY FEATURES:

Classic world-cruising ketch with good sailing performance for fast ocean passages 
Always privately used
Excellent finish, built to the highest standards, with many tried-and-tested features that have proven their reliability over decades
Perfectly crafted joinery and general impression of high-quality 
Large volume and great layout that enhances privacy on board, ideal for long stays on board.

Last works on COLOMBAIO:
2019:                         
- New Genoa
- New 12Kw generator Fischer Panda
Summer 2021:      
- New antifouling
- New hull and superstructure paint
- All service batteries renewed
- Deckhouse varnished (8 coats Epifanes PP, 2 coats Epifanes extra UV)
- 1 new LOFRANS anchor winch, 3500W – 24V
 
COLOMBAIO is in need of a new teak deck, a complete service on all her systems, equipment and rigging, as well as new sails, hence her attractive price. 
She’s a perfect choice for a family looking for a very comfortable and safe bluewater cruiser with a first-class pedigree and lasting value. Mehr anzeigen",1992,Jongert,25S,Segelyachten,28.8,diesel,steel,,italy
